City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Barrow,US,71.29,-156.79,-0.4,77,90,9.17,overcast clouds
1,Carnarvon,AU,-24.87,113.63,87.8,55,55,12.75,broken clouds
2,Hermanus,ZA,-34.42,19.23,79.0,55,0,7.0,clear sky
3,Bluff,NZ,-46.6,168.33,55.0,80,0,1.01,clear sky
4,Saint-Francois,FR,46.42,3.91,44.01,70,40,9.17,scattered clouds
5,Albany,US,42.6,-73.97,35.01,68,100,4.0,overcast clouds
6,Centerville,US,39.63,-84.16,39.99,69,75,14.99,broken clouds
7,Shihezi,CN,44.3,86.03,2.73,93,99,1.95,overcast clouds
8,Saint-Philippe,RE,-21.36,55.77,86.0,66,90,16.11,light rain
9,Chokurdakh,RU,70.63,147.92,-34.15,84,0,2.1,clear sky
10,Nikolskoye,RU,59.7,30.79,28.4,79,40,13.42,scattered clouds
11,Port Alfred,ZA,-33.59,26.89,73.99,79,86,8.99,overcast clouds
12,Punta Arenas,CL,-53.15,-70.92,48.2,61,0,9.17,clear sky
13,Bambous Virieux,MU,-20.34,57.76,82.4,65,75,12.75,broken clouds
14,Hithadhoo,MV,-0.6,73.08,82.8,72,47,9.89,scattered clouds
15,Ancud,CL,-41.87,-73.82,61.0,100,90,10.29,overcast clouds
16,Avera,US,33.19,-82.53,28.4,78,1,3.94,clear sky
17,Morondava,MG,-20.28,44.28,80.78,83,100,12.62,moderate rain
18,Yarovoye,RU,52.93,78.58,-5.91,86,100,13.27,overcast clouds
19,Coahuayana,MX,18.73,-103.68,63.57,77,0,3.91,clear sky
20,Ajdabiya,LY,30.76,20.23,62.83,54,0,1.57,clear sky
21,Pangnirtung,CA,66.15,-65.71,17.6,67,90,16.11,light snow
22,Mar Del Plata,AR,-38.0,-57.56,72.0,94,90,11.41,overcast clouds
23,Castro,BR,-24.79,-50.01,66.74,90,96,4.65,overcast clouds
24,Escanaba,US,45.75,-87.06,23.0,73,90,12.75,overcast clouds
25,Ceccano,IT,41.57,13.33,48.2,81,90,20.8,mist
26,Tuy Hoa,VN,13.08,109.3,72.19,85,99,8.63,overcast clouds
27,Tasiilaq,GL,65.61,-37.64,30.2,58,99,13.87,overcast clouds
28,East London,ZA,-33.02,27.91,73.4,64,20,12.75,few clouds
29,Kawalu,ID,-7.38,108.21,73.99,90,100,1.61,moderate rain
30,Ahipara,NZ,-35.17,173.17,55.54,70,0,7.9,clear sky
31,Talnakh,RU,69.49,88.4,-36.4,73,20,4.47,few clouds
32,Le Passage,FR,44.2,0.6,43.0,87,87,10.29,overcast clouds
33,Asfi,MA,32.3,-9.24,59.76,61,0,4.72,clear sky
34,Maun,BW,-19.98,23.42,86.0,62,40,8.05,scattered clouds
35,Severo-Kurilsk,RU,50.68,156.12,26.71,96,85,21.21,snow
36,Puerto Cabezas,NI,14.04,-83.39,71.96,90,39,10.76,scattered clouds
37,Ambilobe,MG,-13.2,49.05,87.4,63,100,9.44,light rain
38,Port Macquarie,AU,-31.43,152.92,71.01,90,60,5.55,broken clouds
39,Mataura,NZ,-46.19,168.86,55.0,80,0,1.01,clear sky
40,Bredasdorp,ZA,-34.53,20.04,75.2,53,20,11.41,few clouds
41,Yellowknife,CA,62.46,-114.35,-2.99,83,20,8.05,few clouds
42,Atuona,PF,-9.8,-139.03,77.88,73,4,17.49,clear sky
43,Souillac,MU,-20.52,57.52,82.4,65,75,12.75,broken clouds
44,Lebu,CL,-37.62,-73.65,57.83,93,5,7.18,clear sky
45,Jamestown,US,42.1,-79.24,37.99,100,90,16.11,overcast clouds
46,Ushuaia,AR,-54.8,-68.3,46.4,87,40,13.87,scattered clouds
47,Vytegra,RU,61.01,36.45,13.73,94,69,10.78,broken clouds
48,Codrington,AU,-38.27,141.97,51.82,72,58,7.52,broken clouds
49,Hamilton,US,39.18,-84.53,44.6,70,75,16.11,broken clouds
50,Kralendijk,BQ,12.15,-68.27,73.4,94,47,5.82,scattered clouds
51,Ribeira Grande,PT,38.52,-28.7,57.2,67,75,8.05,broken clouds
52,Cairns,AU,-16.92,145.77,78.8,83,75,2.24,light rain
53,Ust-Maya,RU,60.42,134.53,-34.51,83,100,1.92,overcast clouds
54,New Norfolk,AU,-42.78,147.06,57.2,58,75,6.93,broken clouds
55,Rio Grande,BR,-32.03,-52.1,75.99,81,94,5.01,overcast clouds
56,Maniwaki,CA,46.38,-75.97,23.0,100,100,6.93,snow
57,Tiksi,RU,71.69,128.87,2.82,92,100,12.15,overcast clouds
58,Panaba,MX,21.28,-88.27,62.33,93,54,5.84,broken clouds
59,Sayansk,RU,54.11,102.16,-26.07,86,97,2.95,overcast clouds
60,Chuy,UY,-33.7,-53.46,71.69,82,56,10.16,broken clouds
61,Ilulissat,GL,69.22,-51.1,35.6,80,92,12.75,light rain
62,Hay River,CA,60.82,-115.8,-0.4,84,3,2.24,clear sky
63,Aklavik,CA,68.22,-135.01,-9.4,76,43,2.24,scattered clouds
64,Katsuura,JP,35.13,140.3,51.8,76,29,4.7,scattered clouds
65,Cururupu,BR,-1.83,-44.87,80.24,77,79,7.14,broken clouds
66,Hilo,US,19.73,-155.09,69.8,68,90,5.82,light rain
67,Kodiak,US,57.79,-152.41,39.2,80,90,4.7,overcast clouds
68,Seidu,SL,9.02,-10.6,82.45,19,25,7.61,scattered clouds
69,Loukisia,GR,38.48,23.45,62.01,41,20,6.93,few clouds
70,Sao Gabriel Da Cachoeira,BR,-0.13,-67.09,72.84,98,100,2.17,moderate rain
71,Iqaluit,CA,63.75,-68.51,8.6,65,90,20.8,light snow
72,Fort Nelson,CA,58.81,-122.7,-13.0,83,75,2.15,broken clouds
73,Rikitea,PF,-23.12,-134.97,78.69,78,100,17.58,light rain
74,Hasaki,JP,35.73,140.83,39.2,93,20,1.12,few clouds
75,Doctor Juan Manuel Frutos,PY,-25.37,-55.8,77.16,72,0,5.88,clear sky
76,Kaitangata,NZ,-46.28,169.85,53.01,77,0,3.0,clear sky
77,Saskylakh,RU,71.92,114.08,-15.07,87,100,24.32,overcast clouds
78,Opuwo,NA,-18.06,13.84,76.64,57,94,14.23,light rain
79,Yulara,AU,-25.24,130.99,89.6,24,0,9.17,clear sky
80,Assomada,CV,15.1,-23.68,73.4,83,90,11.41,overcast clouds
81,Puerto Ayora,EC,-0.74,-90.35,72.0,94,24,4.0,few clouds
82,Kapaa,US,22.08,-159.32,75.2,83,90,12.75,light rain
83,Yoichi,JP,43.2,140.77,28.4,63,75,11.41,broken clouds
84,Vila Velha,BR,-20.33,-40.29,77.0,78,0,4.7,clear sky
85,Geraldton,AU,-28.77,114.6,82.4,45,0,21.92,clear sky
86,Ballina,AU,-28.87,153.57,77.0,73,95,16.11,overcast clouds
87,Kavieng,PG,-2.57,150.8,84.31,69,71,11.92,broken clouds
88,Vaini,TO,-21.2,-175.2,77.0,94,40,6.93,scattered clouds
89,Zaragoza,ES,41.66,-0.88,54.0,57,0,11.41,clear sky
90,Tres Arroyos,AR,-38.37,-60.28,74.93,68,74,14.72,broken clouds
91,Fortuna,US,40.6,-124.16,37.0,100,90,6.93,overcast clouds
92,Georgetown,MY,5.41,100.34,86.0,74,20,9.17,few clouds
93,Port Lincoln,AU,-34.73,135.87,58.1,68,20,10.56,few clouds
94,Avarua,CK,-21.21,-159.78,75.2,100,85,3.36,overcast clouds
95,Aykhal,RU,66.0,111.5,-2.2,84,90,11.18,light snow
96,Khatanga,RU,71.97,102.5,-26.81,85,100,15.39,overcast clouds
97,Rawson,AR,-43.3,-65.1,73.51,53,88,3.62,overcast clouds
98,Tashara,RU,55.52,83.51,-16.02,85,95,6.29,overcast clouds
99,Ponta Do Sol,PT,32.67,-17.1,62.6,63,40,11.41,scattered clouds
100,Cape Town,ZA,-33.93,18.42,77.0,36,0,6.93,clear sky
101,Longyearbyen,SJ,78.22,15.64,24.8,68,75,25.28,light snow
102,Busselton,AU,-33.65,115.33,74.5,41,61,10.58,broken clouds
103,Pingliang,CN,35.54,106.69,27.45,82,100,17.36,overcast clouds
104,Butaritari,KI,3.07,172.79,81.27,81,41,21.18,light rain
105,Asyut,EG,27.18,31.18,64.4,63,0,4.7,clear sky
106,Saint-Pierre,RE,-21.34,55.48,86.0,66,90,16.11,overcast clouds
107,Sangar,RU,63.92,127.47,-38.6,81,100,3.96,light snow
108,Yibin,CN,28.77,104.62,50.05,68,72,2.55,broken clouds
109,Bathsheba,BB,13.22,-59.52,75.2,88,20,5.82,few clouds
110,Waipawa,NZ,-41.41,175.52,55.4,71,100,12.75,overcast clouds
111,Arraial Do Cabo,BR,-22.97,-42.03,77.0,78,0,12.75,clear sky
112,Inhambane,MZ,-23.86,35.38,89.6,59,20,4.7,few clouds
113,Jimani,DO,18.49,-71.85,71.6,88,99,5.82,overcast clouds
114,Kalmunai,LK,7.42,81.82,80.55,84,37,13.51,light rain
115,Poopo,BO,-18.37,-66.97,46.6,64,95,5.08,overcast clouds
116,Malindi,KE,-3.22,40.12,87.8,62,20,17.22,few clouds
117,Boyolangu,ID,-8.12,111.89,78.6,82,97,3.51,overcast clouds
118,Kamien Pomorski,PL,53.97,14.77,39.0,81,75,14.99,broken clouds
119,Nabire,ID,-3.37,135.48,79.09,74,96,1.52,overcast clouds
120,Kilis,TR,36.72,37.12,51.8,43,0,5.82,clear sky
121,Dikson,RU,73.51,80.55,-16.28,89,87,8.72,overcast clouds
122,Natalio,PY,-26.72,-55.08,77.77,64,1,3.78,light rain
123,Waharoa,NZ,-37.77,175.77,57.99,51,26,3.0,scattered clouds
124,Kruisfontein,ZA,-34.0,24.73,82.99,53,5,8.01,clear sky
125,Aksarayskiy,RU,46.79,48.01,30.2,80,20,11.18,few clouds
126,Hobyo,SO,5.35,48.53,83.39,67,51,24.14,broken clouds
127,Tuktoyaktuk,CA,69.45,-133.04,-12.06,89,65,6.58,broken clouds
128,Bodden Town,KY,19.28,-81.25,75.99,79,90,15.99,overcast clouds
129,Bayshore Gardens,US,27.43,-82.59,53.6,81,1,8.05,clear sky
130,Harper,LR,4.38,-7.72,83.66,70,71,5.75,light rain
131,Kosh-Agach,RU,50.0,88.67,-25.6,77,45,1.43,scattered clouds
132,Manta,EC,-0.95,-80.73,72.07,78,87,5.37,overcast clouds
133,Dharchula,IN,29.85,80.53,54.93,35,0,4.79,clear sky
