City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint-Georges,GD,2020-12-23 09:22:51,12.06,-61.75,78.8,83,75,13.87
1,Margate,GB,2020-12-23 09:22:52,51.38,1.39,54.0,94,100,1.01
2,Porto Novo,BJ,2020-12-23 09:22:52,6.5,2.6,84.2,83,40,5.82
3,Albany,US,2020-12-23 09:22:52,42.6,-73.97,28.0,59,0,1.99
4,Nikolskoye,RU,2020-12-23 09:22:52,59.7,30.79,28.99,92,90,13.42
5,Port Alfred,ZA,2020-12-23 09:22:52,-33.59,26.89,75.0,86,32,8.01
6,Tasiilaq,GL,2020-12-23 09:21:29,65.61,-37.64,23.0,57,75,17.22
7,Chokurdakh,RU,2020-12-23 09:21:38,70.63,147.92,-25.13,88,99,7.47
8,San Quintin,MX,2020-12-23 09:22:53,30.48,-115.95,56.59,81,91,5.59
9,Sibolga,ID,2020-12-23 09:22:53,1.74,98.78,83.28,70,100,3.6
10,Hofn,IS,2020-12-23 09:22:53,64.25,-15.21,26.6,53,0,13.87
11,Arraial Do Cabo,BR,2020-12-23 09:22:53,-22.97,-42.03,73.4,94,75,9.17
12,Yuryevets,RU,2020-12-23 09:21:40,57.32,43.1,19.18,97,100,9.22
13,Walvis Bay,NA,2020-12-23 09:22:54,-22.96,14.51,68.0,72,75,5.82
14,Vaini,TO,2020-12-23 09:22:54,-21.2,-175.2,78.8,88,40,8.05
15,Butaritari,KI,2020-12-23 09:22:54,3.07,172.79,81.46,79,6,17.43
16,Villach,AT,2020-12-23 09:22:54,46.61,13.86,37.99,86,75,6.93
17,Lavrentiya,RU,2020-12-23 09:21:39,65.58,-171.0,30.58,97,100,25.1
18,Georgetown,MY,2020-12-23 09:22:54,5.41,100.34,87.8,70,20,9.17
19,Namibe,AO,2020-12-23 09:22:54,-15.2,12.15,76.05,65,17,7.38
20,Puerto Ayora,EC,2020-12-23 09:22:55,-0.74,-90.35,72.0,92,1,3.0
21,Barrow,US,2020-12-23 09:22:55,71.29,-156.79,-4.0,76,20,19.46
22,Esperance,AU,2020-12-23 09:22:55,-33.87,121.9,77.0,44,0,19.46
23,Sitka,US,2020-12-23 09:22:55,57.05,-135.33,41.0,75,90,26.4
24,Chunoyar,RU,2020-12-23 09:22:55,57.45,97.32,-8.12,87,100,6.11
25,Avarua,CK,2020-12-23 09:22:55,-21.21,-159.78,77.0,73,90,2.24
26,Tuktoyaktuk,CA,2020-12-23 09:22:55,69.45,-133.04,-11.18,87,52,17.87
27,Padang,ID,2020-12-23 09:19:37,-0.95,100.35,84.16,68,96,3.91
28,Hamilton,US,2020-12-23 09:22:56,39.18,-84.53,37.0,74,40,8.05
29,Rawson,AR,2020-12-23 09:22:56,-43.3,-65.1,60.67,41,0,7.92
30,Kahului,US,2020-12-23 09:22:56,20.89,-156.47,71.6,73,1,6.93
31,Kentau,KZ,2020-12-23 09:19:19,43.52,68.51,32.74,89,27,1.07
32,Ushuaia,AR,2020-12-23 09:22:56,-54.8,-68.3,46.4,84,75,14.99
33,Gizo,SB,2020-12-23 09:22:57,-8.1,156.84,85.19,68,90,4.38
34,Rikitea,PF,2020-12-23 09:22:57,-23.12,-134.97,77.25,70,4,7.23
35,Kavieng,PG,2020-12-23 09:22:57,-2.57,150.8,83.39,72,100,4.76
36,Russell,US,2020-12-23 09:22:57,32.35,-85.2,42.01,63,1,3.36
37,Torbay,CA,2020-12-23 09:22:57,47.67,-52.73,39.2,80,90,16.11
38,Yellowknife,CA,2020-12-23 09:22:58,62.46,-114.35,-13.0,75,20,11.41
39,Cherskiy,RU,2020-12-23 09:22:58,68.75,161.3,-20.34,88,100,2.77
40,Tomakomai,JP,2020-12-23 09:19:35,42.64,141.6,32.0,82,75,1.12
